Region	Member	Trade mil. USD (2012)	Nom. GDP mil. USD (2012)[28]	PPP GDP mil. USD (2012)[29]	Nom. GDP per capita USD (2012)[30]	PPP GDP per capita USD (2012)[31]	HDI (2012)[32]	Population	P5	G8	BRICS	DAC	OECD	Economic classification (IMF)[33]
Africa	* South Africa*	208000	384315	582391	7506	11375	0.629	53000000	N	N	Y	N	N	Developing
North America	* United States*	3969000	15684750	15684750	49922	49922	0.937	316173000	Y	Y	N	Y	Y	Advanced
North America	* Canada*	962600	1819081	1488311	52231	42734	0.911	34088000	N	Y	N	Y	Y	Advanced
North America	* Mexico*	756800	1177116	1758896	10247	15311	0.775	112211789	N	N	N	N	Y	Developing
South America	* Brazil*	494800	2395968	2355586	12078	11875	0.73	201032714	N	N	Y	N	N	Developing
South America	* Argentina*	152690	474954	743121	11576	18112	0.811	40117096	N	N	N	N	N	Developing
Asia	* China*	3801000	8227037	12405670	6075	9161	0.699	1339724852	Y	N	Y	N	N	Developing
Asia	* Japan*	1649800	5963969	4627891	46735	36265	0.912	127390000	N	Y	N	Y	Y	Advanced
Asia	* South Korea*	1068700	1155872	1613921	23112	32272	0.909	50004441	N	N	N	Y	Y	Advanced
Asia	* India*	809400	1824832	4684372	1491	3829	0.554	1210193422	N	N	Y	N	N	Developing
Asia	* Indonesia*	384100	878198	1216738	3592	4977	0.629	237556363	N	N	N	N	N	Developing
Eurasia	* Russia*	900600	2021960	2513299	14246	17708	0.788	143400000	Y	Y	Y	N	N	Developing
Eurasia	* Turkey*	370800	794468	1123380	10609	15001	0.722	72561312	N	N	N	N	Y	Developing
Europe	* European Union*	4567000	16414483	16073550	32708	32028	0.876	501259840	N/A	N/A	N/A	N/A	N/A	N/A
Europe	* Germany*	2768000	3400579	3197069	41512	39028	0.92	81757600	N	Y	N	Y	Y	Advanced
Europe	* France*	1226400	2608699	2254067	41140	35547	0.893	65447374	Y	Y	N	Y	Y	Advanced
Europe	* United Kingdom*	1127000	2440505	2336295	38588	36941	0.875	62041708	Y	Y	N	Y	Y	Advanced
Europe	* Italy*	953000	2014079	1832916	33115	30136	0.881	60325805	N	Y	N	Y	Y	Advanced
Middle East	* Saudi Arabia*	518300	727307	906806	25084	31275	0.782	27123977	N	N	N	N	N	Developing
Oceania	* Australia*	522000	1541797	970764	67722	42640	0.938	22328632	N	N	N	Y	Y	Advanced
